Day;Date;Visitor
Zondag;01/01/2023;484
maandag;02/01/2023;832
dinsdag;03/01/2023;872
woensdag;04/01/2023;1003
donderdag;05/01/2023;851
vrijdag;06/01/2023;901
zaterdag;07/01/2023;1082
Zondag;08/01/2023;727
maandag;09/01/2023;362
dinsdag;10/01/2023;344
woensdag;11/01/2023;406
donderdag;12/01/2023;365
vrijdag;13/01/2023;774
zaterdag;14/01/2023;1155
Zondag;15/01/2023;924
maandag;16/01/2023;283
dinsdag;17/01/2023;345
woensdag;18/01/2023;377
donderdag;19/01/2023;400
vrijdag;20/01/2023;670
zaterdag;21/01/2023;1021
Zondag;22/01/2023;759
maandag;23/01/2023;438
dinsdag;24/01/2023;553
woensdag;25/01/2023;363
donderdag;26/01/2023;387
vrijdag;27/01/2023;679
zaterdag;28/01/2023;1034
Zondag;29/01/2023;820
maandag;30/01/2023;341
dinsdag;31/01/2023;338
woensdag;01/02/2023;451
donderdag;02/02/2023;411
vrijdag;03/02/2023;829
zaterdag;04/02/2023;1128
Zondag;05/02/2023;769
maandag;06/02/2023;333
dinsdag;07/02/2023;287
woensdag;08/02/2023;362
donderdag;09/02/2023;317
vrijdag;10/02/2023;652
zaterdag;11/02/2023;1014
Zondag;12/02/2023;763
maandag;13/02/2023;274
dinsdag;14/02/2023;450
woensdag;15/02/2023;424
donderdag;16/02/2023;337
vrijdag;17/02/2023;714
Zaterdag;18/02/2023;1107
Zondag;19/02/2023;755
maandag;20/02/2023;335
dinsdag;21/02/2023;349
woensdag;22/02/2023;453
donderdag;23/02/2023;330
vrijdag;24/02/2023;645
zaterdag;25/02/2023;953
Zondag;26/02/2023;643
maandag;27/02/2023;462
dinsdag;28/02/2023;497
woensdag;01/03/2023;609
donderdag;02/03/2023;495
vrijdag;03/03/2023;651
zaterdag;04/03/2023;889
Zondag;05/03/2023;751
maandag;06/03/2023;310
dinsdag;07/03/2023;399
woensdag;08/03/2023;514
donderdag;09/03/2023;309
vrijdag;10/03/2023;551
zaterdag;11/03/2023;764
Zondag;12/03/2023;760
maandag;13/03/2023;285
dinsdag;14/03/2023;329
woensdag;15/03/2023;409
donderdag;16/03/2023;342
vrijdag;17/03/2023;573
zaterdag;18/03/2023;867
Zondag;19/03/2023;598
maandag;20/03/2023;324
dinsdag;21/03/2023;367
woensdag;22/03/2023;502
