"Date Time","Date Time(RAW)","Total Online Devices","Total Online Devices(RAW)","Speed Bad","Speed Bad(RAW)","Speed Good","Speed Good(RAW)","Speed Better","Speed Better(RAW)","Experience Worse","Experience Worse(RAW)","Experience Bad","Experience Bad(RAW)","Experience Good","Experience Good(RAW)","Experience Better","Experience Better(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"1-9-2023 00:00:00 - 01:00:00","45169.9583333333","61 #","60.9000","0,57 #","0.5667","9,88 #","9.8833","50 #","50.4500","0 #","0.0000","0,62 #","0.6167","0,17 #","0.1667","62 #","62.3667","0 %","0.0000","100 %","0000010000"
"1-9-2023 01:00:00 - 02:00:00","45170.0000000000","58 #","58.3500","0,85 #","0.8500","11 #","10.7833","47 #","46.7167","0 #","0.0000","0,55 #","0.5500","0,15 #","0.1500","58 #","58.4500","0 %","0.0000","100 %","0000010000"
"1-9-2023 02:00:00 - 03:00:00","45170.0416666667","57 #","57.3833","0,47 #","0.4667","9,73 #","9.7333","47 #","47.1833","0 #","0.0000","0,38 #","0.3833","0,17 #","0.1667","57 #","56.8333","0 %","0.0000","100 %","0000010000"
"1-9-2023 03:00:00 - 04:00:00","45170.0833333333","57 #","57.4000","0,52 #","0.5167","10 #","10.4000","46 #","46.4833","0 #","0.0000","0,15 #","0.1500","0 #","0.0000","57 #","57.3667","0 %","0.0000","100 %","0000010000"
"1-9-2023 04:00:00 - 05:00:00","45170.1250000000","57 #","57.1333","0,30 #","0.3000","10 #","10.4833","46 #","46.3500","0 #","0.0000","0,42 #","0.4167","0,17 #","0.1667","57 #","56.9667","0 %","0.0000","100 %","0000010000"
"1-9-2023 05:00:00 - 06:00:00","45170.1666666667","58 #","57.6667","0,30 #","0.3000","10 #","10.3500","47 #","47.0167","0 #","0.0000","0,43 #","0.4333","0,27 #","0.2667","57 #","57.2333","0 %","0.0000","100 %","0000010000"
"1-9-2023 06:00:00 - 07:00:00","45170.2083333333","58 #","58.2500","0,25 #","0.2500","9,88 #","9.8833","48 #","48.1167","0 #","0.0000","0,17 #","0.1667","0,10 #","0.1000","58 #","58.4667","0 %","0.0000","100 %","0000010000"
"1-9-2023 07:00:00 - 08:00:00","45170.2500000000","59 #","58.9000","0,33 #","0.3333","11 #","10.9500","48 #","47.6167","0 #","0.0000","0,37 #","0.3667","0,35 #","0.3500","58 #","58.3167","0 %","0.0000","100 %","0000010000"
"1-9-2023 08:00:00 - 09:00:00","45170.2916666667","75 #","74.5167","1,05 #","1.0500","17 #","17.2667","56 #","56.2000","0 #","0.0000","1,45 #","1.4500","0,58 #","0.5833","73 #","73.2000","0 %","0.0000","100 %","0000010000"
"1-9-2023 09:00:00 - 10:00:00","45170.3333333333","131 #","130.5333","2,33 #","2.3333","27 #","27.4500","101 #","100.7500","0 #","0.0000","4,03 #","4.0333","1,50 #","1.5000","127 #","127.2500","0 %","0.0000","100 %","0000010000"
"1-9-2023 10:00:00 - 11:00:00","45170.3750000000","181 #","181.4000","4,75 #","4.7500","39 #","39.1167","138 #","137.5333","0 #","0.0000","7,93 #","7.9333","2,48 #","2.4833","174 #","173.5167","0 %","0.0000","100 %","0000010000"
"1-9-2023 11:00:00 - 12:00:00","45170.4166666667","191 #","191.3500","5,53 #","5.5333","35 #","35.3500","150 #","150.4667","0 #","0.0000","4,45 #","4.4500","2,40 #","2.4000","187 #","186.8500","0 %","0.0000","100 %","0000010000"
"1-9-2023 12:00:00 - 13:00:00","45170.4583333333","195 #","194.8000","6,13 #","6.1333","47 #","46.7167","142 #","141.9500","0 #","0.0000","8,07 #","8.0667","3,78 #","3.7833","185 #","185.3667","0 %","0.0000","100 %","0000010000"
"1-9-2023 13:00:00 - 14:00:00","45170.5000000000","193 #","192.9333","4,02 #","4.0167","44 #","44.4167","145 #","144.5000","0 #","0.0000","8,58 #","8.5833","2,78 #","2.7833","186 #","186.1833","0 %","0.0000","100 %","0000010000"
"1-9-2023 14:00:00 - 15:00:00","45170.5416666667","191 #","191.3167","5,53 #","5.5333","38 #","38.0167","148 #","147.7667","0 #","0.0000","7,22 #","7.2167","2,22 #","2.2167","185 #","185.4333","0 %","0.0000","100 %","0000010000"
"1-9-2023 15:00:00 - 16:00:00","45170.5833333333","182 #","182.2667","5,78 #","5.7833","35 #","35.3000","141 #","141.1833","0 #","0.0000","6,60 #","6.6000","1,87 #","1.8667","178 #","177.9167","0 %","0.0000","100 %","0000010000"
"1-9-2023 16:00:00 - 17:00:00","45170.6250000000","160 #","159.9667","5,47 #","5.4667","32 #","31.5667","123 #","122.9333","0 #","0.0000","7,62 #","7.6167","2,08 #","2.0833","153 #","152.7500","0 %","0.0000","100 %","0000010000"
"1-9-2023 17:00:00 - 18:00:00","45170.6666666667","115 #","114.5500","4,08 #","4.0833","30 #","29.5833","81 #","80.8833","0 #","0.0000","7,35 #","7.3500","1,90 #","1.9000","107 #","107.2833","0 %","0.0000","100 %","0000010000"
"1-9-2023 18:00:00 - 19:00:00","45170.7083333333","80 #","79.6000","3,90 #","3.9000","19 #","18.7833","57 #","56.9167","0 #","0.0000","3,52 #","3.5167","0,42 #","0.4167","78 #","77.6833","0 %","0.0000","100 %","0000010000"
