"Date Time","Date Time(RAW)","Total Online Devices","Total Online Devices(RAW)","Speed Bad","Speed Bad(RAW)","Speed Good","Speed Good(RAW)","Speed Better","Speed Better(RAW)","Experience Worse","Experience Worse(RAW)","Experience Bad","Experience Bad(RAW)","Experience Good","Experience Good(RAW)","Experience Better","Experience Better(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"1-4-2024 00:00:00 - 01:00:00","45382.9583333333","53 #","53.2167","0,08 #","0.0833","8,40 #","8.4000","45 #","44.7333","0 #","0.0000","0 #","0.0000","0 #","0.0000","54 #","54.1833","0 %","0.0000","100 %","0000010000"
"1-4-2024 01:00:00 - 02:00:00","45383.0000000000","52 #","52.0500","0,27 #","0.2667","8,10 #","8.1000","44 #","43.6833","0 #","0.0000","0,20 #","0.2000","0 #","0.0000","53 #","52.7500","0 %","0.0000","100 %","0000010000"
"1-4-2024 02:00:00 - 03:00:00","45383.0416666667","51 #","51.2500","0 #","0.0000","7,20 #","7.2000","44 #","44.0500","0 #","0.0000","0 #","0.0000","0 #","0.0000","52 #","52.0000","0 %","0.0000","100 %","0000010000"
"1-4-2024 03:00:00 - 04:00:00","45383.0833333333","51 #","51.4333","0,08 #","0.0833","6,97 #","6.9667","44 #","44.3833","0 #","0.0000","0 #","0.0000","0 #","0.0000","52 #","52.0000","0 %","0.0000","100 %","0000010000"
"1-4-2024 04:00:00 - 05:00:00","45383.1250000000","51 #","51.1064","0,32 #","0.3191","7,34 #","7.3404","43 #","43.4468","0 #","0.0000","0,21 #","0.2128","0 #","0.0000","52 #","51.7872","0 %","0.0000","100 %","0000010000"
"1-4-2024 05:00:00 - 06:00:00","45383.1666666667","51 #","51.3667","0 #","0.0000","7,47 #","7.4667","44 #","43.9000","0 #","0.0000","0 #","0.0000","0 #","0.0000","52 #","52.0000","0 %","0.0000","100 %","0000010000"
"1-4-2024 06:00:00 - 07:00:00","45383.2083333333","51 #","51.2333","0 #","0.0000","7,67 #","7.6667","44 #","43.5667","0 #","0.0000","0 #","0.0000","0,08 #","0.0833","52 #","51.9167","0 %","0.0000","100 %","0000010000"
"1-4-2024 07:00:00 - 08:00:00","45383.2500000000","51 #","51.3500","0 #","0.0000","7,57 #","7.5667","44 #","43.7833","0 #","0.0000","0 #","0.0000","0 #","0.0000","52 #","52.0000","0 %","0.0000","100 %","0000010000"
"1-4-2024 08:00:00 - 09:00:00","45383.2916666667","51 #","51.1167","0 #","0.0000","7,48 #","7.4833","44 #","43.6333","0 #","0.0000","0 #","0.0000","0 #","0.0000","52 #","51.8833","0 %","0.0000","100 %","0000010000"
"1-4-2024 09:00:00 - 10:00:00","45383.3333333333","51 #","51.2833","0,02 #","0.0167","8,45 #","8.4500","43 #","42.8167","0 #","0.0000","0,17 #","0.1667","0,02 #","0.0167","52 #","52.0333","0 %","0.0000","100 %","0000010000"
"1-4-2024 10:00:00 - 11:00:00","45383.3750000000","55 #","55.2000","0,18 #","0.1833","9,53 #","9.5333","45 #","45.4833","0 #","0.0000","0,12 #","0.1167","0 #","0.0000","56 #","55.6667","0 %","0.0000","100 %","0000010000"
"1-4-2024 11:00:00 - 12:00:00","45383.4166666667","60 #","60.2167","0,37 #","0.3667","11 #","11.2000","49 #","48.6500","0 #","0.0000","1 #","1.0000","0,30 #","0.3000","60 #","60.3833","0 %","0.0000","100 %","0000010000"
"1-4-2024 12:00:00 - 13:00:00","45383.4583333333","66 #","66.4667","0,92 #","0.9167","14 #","13.6667","52 #","51.8833","0 #","0.0000","1,27 #","1.2667","0,05 #","0.0500","67 #","66.6667","0 %","0.0000","100 %","0000010000"
