"Date Time","Date Time(RAW)","Total Online Devices","Total Online Devices(RAW)","Speed Bad","Speed Bad(RAW)","Speed Good","Speed Good(RAW)","Speed Better","Speed Better(RAW)","Experience Worse","Experience Worse(RAW)","Experience Bad","Experience Bad(RAW)","Experience Good","Experience Good(RAW)","Experience Better","Experience Better(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"1-3-2024 00:00:00 - 01:00:00","45352.0000000000","51 #","51.4915","3,37 #","3.3729","9,54 #","9.5424","39 #","38.5763","0 #","0.0000","0,27 #","0.2712","0,08 #","0.0847","52 #","51.6949","0 %","0.0000","100 %","0000010000"
"1-3-2024 01:00:00 - 02:00:00","45352.0416666667","50 #","50.2000","3,35 #","3.3500","7,90 #","7.9000","39 #","38.9500","0 #","0.0000","0,33 #","0.3333","0,02 #","0.0167","50 #","50.4333","0 %","0.0000","100 %","0000010000"
"1-3-2024 02:00:00 - 03:00:00","45352.0833333333","49 #","49.3000","3,25 #","3.2500","7,98 #","7.9833","38 #","38.0667","0 #","0.0000","0,12 #","0.1167","0 #","0.0000","50 #","50.3000","0 %","0.0000","100 %","0000010000"
"1-3-2024 03:00:00 - 04:00:00","45352.1250000000","49 #","48.5167","3,17 #","3.1667","7,03 #","7.0333","38 #","38.3167","0 #","0.0000","0,13 #","0.1333","0 #","0.0000","49 #","49.4167","0 %","0.0000","100 %","0000010000"
"1-3-2024 04:00:00 - 05:00:00","45352.1666666667","48 #","48.2333","3,20 #","3.2000","7,12 #","7.1167","38 #","37.9167","0 #","0.0000","0,07 #","0.0667","0,10 #","0.1000","49 #","48.8333","0 %","0.0000","100 %","0000010000"
"1-3-2024 05:00:00 - 06:00:00","45352.2083333333","48 #","48.3500","3,15 #","3.1500","6,90 #","6.9000","38 #","38.3000","0 #","0.0000","0,02 #","0.0167","0 #","0.0000","49 #","48.9833","0 %","0.0000","100 %","0000010000"
"1-3-2024 06:00:00 - 07:00:00","45352.2500000000","49 #","48.9333","3,12 #","3.1167","6,53 #","6.5333","39 #","39.2833","0 #","0.0000","0 #","0.0000","0 #","0.0000","50 #","49.6000","0 %","0.0000","100 %","0000010000"
"1-3-2024 07:00:00 - 08:00:00","45352.2916666667","51 #","51.4000","3,45 #","3.4500","8,60 #","8.6000","39 #","39.3500","0 #","0.0000","0,35 #","0.3500","0,18 #","0.1833","52 #","51.8167","0 %","0.0000","100 %","0000010000"
"1-3-2024 08:00:00 - 09:00:00","45352.3333333333","72 #","71.6667","3,93 #","3.9333","15 #","14.5000","53 #","53.2333","0 #","0.0000","1,45 #","1.4500","0,47 #","0.4667","71 #","71.2833","0 %","0.0000","100 %","0000010000"
"1-3-2024 09:00:00 - 10:00:00","45352.3750000000","151 #","150.7000","5,03 #","5.0333","33 #","33.4500","112 #","112.2167","0 #","0.0000","3,52 #","3.5167","1,87 #","1.8667","150 #","149.8667","0 %","0.0000","100 %","0000010000"
"1-3-2024 10:00:00 - 11:00:00","45352.4166666667","197 #","197.4500","5,55 #","5.5500","33 #","33.2667","159 #","158.6333","0 #","0.0000","3,93 #","3.9333","0,88 #","0.8833","196 #","196.3167","0 %","0.0000","100 %","0000010000"
"1-3-2024 11:00:00 - 12:00:00","45352.4583333333","209 #","209.4500","6,67 #","6.6667","42 #","42.3167","160 #","160.4667","0 #","0.0000","6,37 #","6.3667","1,37 #","1.3667","205 #","204.9333","0 %","0.0000","100 %","0000010000"
"1-3-2024 12:00:00 - 13:00:00","45352.5000000000","200 #","199.6833","6,92 #","6.9167","36 #","36.3000","156 #","156.4667","0 #","0.0000","6,32 #","6.3167","1,35 #","1.3500","195 #","195.3667","0 %","0.0000","100 %","0000010000"
"1-3-2024 13:00:00 - 14:00:00","45352.5416666667","206 #","206.0000","6,55 #","6.5500","38 #","38.2333","161 #","161.2167","0 #","0.0000","6,75 #","6.7500","1,95 #","1.9500","201 #","201.2833","0 %","0.0000","100 %","0000010000"
"1-3-2024 14:00:00 - 15:00:00","45352.5833333333","203 #","203.1500","6,05 #","6.0500","33 #","33.0667","164 #","164.0333","0 #","0.0000","4,63 #","4.6333","1,88 #","1.8833","200 #","200.1500","0 %","0.0000","100 %","0000010000"
"1-3-2024 15:00:00 - 16:00:00","45352.6250000000","163 #","162.5167","7,07 #","7.0667","38 #","37.9833","117 #","117.4667","0 #","0.0000","8,90 #","8.9000","2,37 #","2.3667","154 #","154.3833","0 %","0.0000","100 %","0000010000"
"1-3-2024 16:00:00 - 17:00:00","45352.6666666667","128 #","128.3833","5,70 #","5.7000","26 #","26.2833","96 #","96.4000","0 #","0.0000","3,60 #","3.6000","0,27 #","0.2667","126 #","125.9000","0 %","0.0000","100 %","0000010000"
