name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,cinema_visitors
"Haarlem, Netherlands",01/01/2023,13.7,10.4,11.8,13.7,10.4,11.8,8.4,80.1,8.331,100,29.17,rain,0,0,71.5,45.8,213.8,1010.4,99.6,23.8,19.5,1.7,1,10,2023-01-01T08:51:43,2023-01-01T16:38:19,0.31,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,D3248,E5029,06348099999,06249099999,06240099999,06257099999,06344099999",484
"Haarlem, Netherlands",02/01/2023,11.1,5.5,8.7,11.1,3.1,6.6,7.2,90.8,6.711,100,45.83,rain,0,0,37.7,27.7,238.2,1014.7,79.2,26.2,12.5,1.2,1,10,2023-01-02T08:51:34,2023-01-02T16:39:25,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E5029,06249099999,06240099999,06257099999,06344099999",832
"Haarlem, Netherlands",03/01/2023,9.6,2.3,6.2,5.6,-0.7,3.1,4.5,88.8,0.32,100,12.5,rain,0,0,49.8,38.2,182.1,1023.7,80.9,20.2,11.8,0.9,1,10,2023-01-03T08:51:22,2023-01-03T16:40:33,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06260099999,E5029,06249099999,06240099999,C0449,06257099999,06344099999",872
"Haarlem, Netherlands",04/01/2023,11.9,9,11,11.9,4.7,10.4,9.4,90.4,10.531,100,54.17,rain,0,0,74.4,51.4,230.9,1012.8,100,12,11.4,1,1,10,2023-01-04T08:51:07,2023-01-04T16:41:44,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E5029,06249099999,06240099999,06257099999,06344099999",1003
"Haarlem, Netherlands",05/01/2023,10.8,9.7,10.2,10.8,6.9,9.6,8.5,89.4,1.332,100,29.17,rain,0,0,53.9,39,246.8,1017.6,94.2,10.2,18,1.6,1,10,2023-01-05T08:50:48,2023-01-05T16:42:58,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,E5029,06249099999,06240099999,06257099999,06344099999",851
"Haarlem, Netherlands",06/01/2023,10.7,8.5,9.8,10.7,6,8,7.8,87.4,0.79,100,29.17,rain,0,0,54.8,38.2,219.6,1015.3,88.9,27.8,19.2,1.6,1,10,2023-01-06T08:50:26,2023-01-06T16:44:14,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,E5029,06249099999,06240099999,C0449,06257099999,06344099999",901
"Haarlem, Netherlands",07/01/2023,11.3,9.1,10.5,11.3,5.3,9.9,7.7,83.3,0.691,100,33.33,rain,0,0,50.2,38,180.9,1008,100,34.8,21.3,1.9,1,10,2023-01-07T08:50:01,2023-01-07T16:45:33,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,E5029,06249099999,06240099999,06257099999",1082
"Haarlem, Netherlands",08/01/2023,10.1,6.7,8.5,10.1,3.1,5.4,5.4,80.7,1.733,100,16.67,rain,0,0,52.4,31.5,187,997.9,66.4,38.3,23.9,2.1,1,10,2023-01-08T08:49:32,2023-01-08T16:46:54,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,E5029,06249099999,06240099999,06257099999,06344099999",727
"Haarlem, Netherlands",09/01/2023,8.5,5.9,7.3,5.2,1.8,3.9,5.1,86.2,1.788,100,54.17,rain,0,0,42.2,31,242.6,997.5,87.2,25.8,17.3,1.6,1,10,2023-01-09T08:49:00,2023-01-09T16:48:18,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,E5029,06249099999,06240099999,06257099999,06344099999",362
"Haarlem, Netherlands",10/01/2023,10.3,6.3,7.5,10.3,1.3,3.9,5.5,87.5,7.235,100,50,rain,0,0,54,39.2,199.9,1011.3,94.7,13,12,1.1,1,10,2023-01-10T08:48:24,2023-01-10T16:49:43,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E5029,06249099999,06240099999,06257099999,06344099999",344
