Date Time,Date Time(RAW),Total Online Devices,Total Online Devices(RAW),Speed Bad,Speed Bad(RAW),Speed Good,Speed Good(RAW),Speed Better,Speed Better(RAW),Experience Worse,Experience Worse(RAW),Experience Bad,Experience Bad(RAW),Experience Good,Experience Good(RAW),Experience Better,Experience Better(RAW),Downtime,Downtime(RAW),Coverage,Coverage(RAW)
1-9-2023 00:00:00 - 01:00:00,45169.95833,61 #,60.9,"0,57 #",0.5667,"9,88 #",9.8833,50 #,50.45,0 #,0,"0,62 #",0.6167,"0,17 #",0.1667,62 #,62.3667,0%,0,100%,10000
1-9-2023 01:00:00 - 02:00:00,45170,58 #,58.35,"0,85 #",0.85,11 #,10.7833,47 #,46.7167,0 #,0,"0,55 #",0.55,"0,15 #",0.15,58 #,58.45,0%,0,100%,10000
1-9-2023 02:00:00 - 03:00:00,45170.04167,57 #,57.3833,"0,47 #",0.4667,"9,73 #",9.7333,47 #,47.1833,0 #,0,"0,38 #",0.3833,"0,17 #",0.1667,57 #,56.8333,0%,0,100%,10000
1-9-2023 03:00:00 - 04:00:00,45170.08333,57 #,57.4,"0,52 #",0.5167,10 #,10.4,46 #,46.4833,0 #,0,"0,15 #",0.15,0 #,0,57 #,57.3667,0%,0,100%,10000
1-9-2023 04:00:00 - 05:00:00,45170.125,57 #,57.1333,"0,30 #",0.3,10 #,10.4833,46 #,46.35,0 #,0,"0,42 #",0.4167,"0,17 #",0.1667,57 #,56.9667,0%,0,100%,10000
1-9-2023 05:00:00 - 06:00:00,45170.16667,58 #,57.6667,"0,30 #",0.3,10 #,10.35,47 #,47.0167,0 #,0,"0,43 #",0.4333,"0,27 #",0.2667,57 #,57.2333,0%,0,100%,10000
1-9-2023 06:00:00 - 07:00:00,45170.20833,58 #,58.25,"0,25 #",0.25,"9,88 #",9.8833,48 #,48.1167,0 #,0,"0,17 #",0.1667,"0,10 #",0.1,58 #,58.4667,0%,0,100%,10000
1-9-2023 07:00:00 - 08:00:00,45170.25,59 #,58.9,"0,33 #",0.3333,11 #,10.95,48 #,47.6167,0 #,0,"0,37 #",0.3667,"0,35 #",0.35,58 #,58.3167,0%,0,100%,10000
1-9-2023 08:00:00 - 09:00:00,45170.29167,75 #,74.5167,"1,05 #",1.05,17 #,17.2667,56 #,56.2,0 #,0,"1,45 #",1.45,"0,58 #",0.5833,73 #,73.2,0%,0,100%,10000
1-9-2023 09:00:00 - 10:00:00,45170.33333,131 #,130.5333,"2,33 #",2.3333,27 #,27.45,101 #,100.75,0 #,0,"4,03 #",4.0333,"1,50 #",1.5,127 #,127.25,0%,0,100%,10000
1-9-2023 10:00:00 - 11:00:00,45170.375,181 #,181.4,"4,75 #",4.75,39 #,39.1167,138 #,137.5333,0 #,0,"7,93 #",7.9333,"2,48 #",2.4833,174 #,173.5167,0%,0,100%,10000
1-9-2023 11:00:00 - 12:00:00,45170.41667,191 #,191.35,"5,53 #",5.5333,35 #,35.35,150 #,150.4667,0 #,0,"4,45 #",4.45,"2,40 #",2.4,187 #,186.85,0%,0,100%,10000
1-9-2023 12:00:00 - 13:00:00,45170.45833,195 #,194.8,"6,13 #",6.1333,47 #,46.7167,142 #,141.95,0 #,0,"8,07 #",8.0667,"3,78 #",3.7833,185 #,185.3667,0%,0,100%,10000
1-9-2023 13:00:00 - 14:00:00,45170.5,193 #,192.9333,"4,02 #",4.0167,44 #,44.4167,145 #,144.5,0 #,0,"8,58 #",8.5833,"2,78 #",2.7833,186 #,186.1833,0%,0,100%,10000
1-9-2023 14:00:00 - 15:00:00,45170.54167,191 #,191.3167,"5,53 #",5.5333,38 #,38.0167,148 #,147.7667,0 #,0,"7,22 #",7.2167,"2,22 #",2.2167,185 #,185.4333,0%,0,100%,10000
1-9-2023 15:00:00 - 16:00:00,45170.58333,182 #,182.2667,"5,78 #",5.7833,35 #,35.3,141 #,141.1833,0 #,0,"6,60 #",6.6,"1,87 #",1.8667,178 #,177.9167,0%,0,100%,10000
1-9-2023 16:00:00 - 17:00:00,45170.625,160 #,159.9667,"5,47 #",5.4667,32 #,31.5667,123 #,122.9333,0 #,0,"7,62 #",7.6167,"2,08 #",2.0833,153 #,152.75,0%,0,100%,10000
1-9-2023 17:00:00 - 18:00:00,45170.66667,115 #,114.55,"4,08 #",4.0833,30 #,29.5833,81 #,80.8833,0 #,0,"7,35 #",7.35,"1,90 #",1.9,107 #,107.2833,0%,0,100%,10000
1-9-2023 18:00:00 - 19:00:00,45170.70833,80 #,79.6,"3,90 #",3.9,19 #,18.7833,57 #,56.9167,0 #,0,"3,52 #",3.5167,"0,42 #",0.4167,78 #,77.6833,0%,0,100%,10000
1-9-2023 19:00:00 - 20:00:00,45170.75,71 #,71.1167,"1,92 #",1.9167,16 #,15.6667,54 #,53.5333,0 #,0,"1,32 #",1.3167,"0,30 #",0.3,72 #,72.1167,0%,0,100%,10000
1-9-2023 20:00:00 - 21:00:00,45170.79167,70 #,70.4,"2,07 #",2.0667,14 #,14.35,54 #,53.9833,0 #,0,"1,35 #",1.35,"0,17 #",0.1667,71 #,71.15,0%,0,100%,10000
1-9-2023 21:00:00 - 22:00:00,45170.83333,68 #,68.2833,"4,10 #",4.1,13 #,13.1,51 #,51.0833,0 #,0,"2,28 #",2.2833,"0,15 #",0.15,69 #,68.75,0%,0,100%,10000
